"","CBSAFP","metro_area","CSAFP"
"1",10100,"south dakota nonmetropolitan area",NA
"2",10140,"washington nonmetropolitan area",NA
"3",10180,"texas nonmetropolitan area",NA
"4",10220,"oklahoma nonmetropolitan area",NA
"5",10300,"detroit metropolitan area",220
"6",10420,"cleveland metropolitan area",184
"7",10460,"new mexico nonmetropolitan area",NA
"8",10500,"georgia nonmetropolitan area (united states)",NA
"9",10540,"portland metropolitan area",440
"10",10580,"albany metropolitan area",104
"11",10620,"charlotte metropolitan area",172
"12",10660,"minnesota nonmetropolitan area",NA
"13",10700,"alabama nonmetropolitan area",NA
"14",10740,"albuquerque metropolitan area",106
"15",10760,"alabama nonmetropolitan area",388
"16",10780,"louisiana nonmetropolitan area",NA
"17",10820,"minnesota nonmetropolitan area",NA
"18",10860,"corpus christi metropolitan area",204
"19",10900,"pennsylvania nonmetropolitan area",NA
"20",10940,"michigan nonmetropolitan area",394
"21",10980,"michigan nonmetropolitan area",NA
"22",11020,"pennsylvania nonmetropolitan area",107
"23",11060,"oklahoma nonmetropolitan area",NA
"24",11100,"texas nonmetropolitan area",108
"25",11140,"georgia nonmetropolitan area (united states)",NA
"26",11180,"des moines metropolitan area",218
"27",11220,"albany metropolitan area",104
"28",11260,"anchorage metropolitan area",NA
"29",11380,"texas nonmetropolitan area",NA
"30",11420,"fort wayne metropolitan area",258
"31",11460,"detroit metropolitan area",220
"32",11500,"alabama nonmetropolitan area",NA
"33",11540,"wisconsin nonmetropolitan area",118
"34",11580,"florida nonmetropolitan area",412
"35",11620,"oklahoma nonmetropolitan area",NA
"36",11660,"arkansas nonmetropolitan area",NA
"37",11700,"north carolina nonmetropolitan area",120
"38",11740,"ohio nonmetropolitan area",360
"39",11780,"cleveland metropolitan area",184
"40",11820,"oregon nonmetropolitan area",NA
"41",11860,"kansas city metropolitan area",312
"42",11900,"ohio nonmetropolitan area",NA
"43",11940,"chattanooga metropolitan area",174
"44",11980,"dallas metropolitan area",206
"45",12020,"atlanta metropolitan area",122
"46",12060,"atlanta metropolitan area",122
"47",12100,"philadelphia metropolitan area",428
"48",12120,"alabama nonmetropolitan area",426
"49",12140,"fort wayne metropolitan area",258
"50",12180,"syracuse metropolitan area",532
"51",12220,"alabama nonmetropolitan area",194
"52",12260,"georgia nonmetropolitan area (united states)",NA
"53",12300,"maine nonmetropolitan area",NA
"54",12380,"minnesota nonmetropolitan area",462
"55",12420,"austin metropolitan area",NA
"56",12460,"georgia nonmetropolitan area (united states)",NA
"57",12540,"bakersfield metropolitan area",NA
"58",12580,"baltimore metropolitan area",548
"59",12620,"maine nonmetropolitan area",NA
"60",12660,"madison metropolitan area",357
"61",12680,"louisville metropolitan area",350
"62",12700,"boston metropolitan area",148
"63",12740,"vermont nonmetropolitan area",162
"64",12780,"tulsa metropolitan area",538
"65",12860,"rochester metropolitan area",464
